Id,Block,City,Year,Latitude,Longitude,Location
27723,S HONORE ST,CHICAGO IL 60636,2001,41.7778176,-87.6705306,"(-87.6705306 ,41.7778176)"
27724,E 111TH ST,CHICAGO IL,2000,41.6936152,-87.6013365,"(-87.6013365 ,41.6936152)"
27725,N KILPATRICK AVE,CHICAGO IL,2001,41.8980603,-87.7435871,"(-87.7435871 ,41.8980603)"
27726,S DR MARTIN LUTHER KING JR DR,CHICAGO IL 60616,2000,41.8481159,-87.6173762,"(-87.6173762 ,41.8481159)"
27727,W HARRISON ST,CHICAGO IL,2001,41.873988,-87.705456,"(-87.705456 ,41.873988)"
27728,N SHERIDAN RD,CHICAGO IL 60640,2001,41.9730543,-87.6550994,"(-87.6550994 ,41.9730543)"
27729,,CHICAGO IL,2002,41.8781136,-87.6297982,"(-87.6297982 ,41.8781136)"
27730,,CHICAGO IL,2002,41.8781136,-87.6297982,"(-87.6297982 ,41.8781136)"
27731,S ST LAWRENCE AVE,CHICAGO IL 60619,2000,41.7299096,-87.609485,"(-87.609485 ,41.7299096)"
27732,N LAWNDALE AVE,CHICAGO IL 60651,2001,41.9022128,-87.718969,"(-87.718969 ,41.9022128)"
27733,E 111TH ST,CHICAGO IL,2000,41.6936152,-87.6013365,"(-87.6013365 ,41.6936152)"
27734,N CALIFORNIA AVE,CHICAGO IL,2001,41.9212751,-87.697796,"(-87.697796 ,41.9212751)"
27736,W PERSHING RD,CHICAGO IL,2002,41.8233467,-87.6722153,"(-87.6722153 ,41.8233467)"
27737,S ABERDEEN ST,CHICAGO IL,2000,41.7490327,-87.6515812,"(-87.6515812 ,41.7490327)"
27739,E GOLF ROAD,SCHAUMBURG IL,2002,42.0508625,-88.051105,"(-88.051105 ,42.0508625)"
27740,S CALIFORNIA AVE,CHICAGO IL 60608,2002,41.8547916,-87.6962528,"(-87.6962528 ,41.8547916)"
27741,W 63RD ST,CHICAGO IL 60629,2001,41.7791438,-87.7099308,"(-87.7099308 ,41.7791438)"
27743,N MENARD AVE,CHICAGO IL,2001,41.9124902,-87.7707023,"(-87.7707023 ,41.9124902)"
27744,S LANGLEY AVE,CHICAGO IL,2001,41.7734574,-87.6084084,"(-87.6084084 ,41.7734574)"
27745,S WESTERN AVE,CHICAGO IL,2001,41.6902554,-87.6814385,"(-87.6814385 ,41.6902554)"
27746,S STONY ISLAND AVE,CHICAGO IL 60637,2001,41.7735874,-87.5866551,"(-87.5866551 ,41.7735874)"
27747,S TALMAN AVE,CHICAGO IL,2001,41.7630898,-87.6895645,"(-87.6895645 ,41.7630898)"
27750,S ASHLAND AVE,CHICAGO IL,2001,41.772278,-87.664295,"(-87.664295 ,41.772278)"
27751,W FULLERTON AVE,CHICAGO IL,2001,41.924678,-87.738575,"(-87.738575 ,41.924678)"
27752,N SPRINGFIELD AVE,CHICAGO IL,2001,41.8932064,-87.7238798,"(-87.7238798 ,41.8932064)"
27753,N CANNON DR,CHICAGO IL 60614,2001,41.9257015,-87.6335927,"(-87.6335927 ,41.9257015)"
27754,S SEELEY AVE,CHICAGO IL,2001,41.772358,-87.6751993,"(-87.6751993 ,41.772358)"
27755,W NORTH AVE,CHICAGO IL 60610,2001,41.9111484,-87.6402219,"(-87.6402219 ,41.9111484)"
27756,S STATE ST,CHICAGO IL 60604,2001,41.877113,-87.628048,"(-87.628048 ,41.877113)"
27757,S COTTAGE GROVE AVE,CHICAGO IL 60637,2001,41.7940354,-87.6062176,"(-87.6062176 ,41.7940354)"
27758,S UNION AVE,CHICAGO IL,2001,41.7637565,-87.6419069,"(-87.6419069 ,41.7637565)"
27759,S DREXEL BLVD,CHICAGO IL,2001,41.8099205,-87.6048455,"(-87.6048455 ,41.8099205)"
27762,S STEWART AVE,CHICAGO IL 60621,2001,41.778598,-87.6353727,"(-87.6353727 ,41.778598)"
27763,W MONTEREY AVE,CHICAGO IL 60643,2002,41.6919195,-87.6704814,"(-87.6704814 ,41.6919195)"
1612,,CHICAGO IL,2000,41.8781136,-87.6297982,"(-87.6297982 ,41.8781136)"
27764,W HARRISON ST,CHICAGO IL,2000,41.873988,-87.705456,"(-87.705456 ,41.873988)"
